	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_14003_9.txt	14003	9	20.0	46.0	25.3333333333	44.0	23.0	96.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	47.0
alpha_rarefaction_16002_0.txt	16002	0	20.0	45.0	24.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_16002_1.txt	16002	1	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_16002_2.txt	16002	2	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	40.0	26.0	22.0	18.0	26.0	22.0	49.0
alpha_rarefaction_16002_3.txt	16002	3	20.0	46.0	26.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	47.0
alpha_rarefaction_16002_4.txt	16002	4	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_16002_5.txt	16002	5	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_16002_6.txt	16002	6	20.0	46.0	25.0	43.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.25
alpha_rarefaction_16002_7.txt	16002	7	21.0	46.0	25.5	44.0	23.0	97.0	29.0	25.0	16.0	40.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_16002_8.txt	16002	8	20.0	46.6	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_16002_9.txt	16002	9	20.0	46.0	25.3333333333	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	47.0
alpha_rarefaction_18001_0.txt	18001	0	20.0	45.0	25.3333333333	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_18001_1.txt	18001	1	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_18001_2.txt	18001	2	20.0	46.0	26.5	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_18001_3.txt	18001	3	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_18001_4.txt	18001	4	20.0	46.0	25.0	44.0	23.0	98.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_18001_5.txt	18001	5	19.0	45.0	25.25	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_18001_6.txt	18001	6	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_18001_7.txt	18001	7	20.0	46.0	25.0	44.0	23.0	96.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	47.0
alpha_rarefaction_18001_8.txt	18001	8	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
