	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_16002_7.txt	16002	7	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_16002_8.txt	16002	8	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_16002_9.txt	16002	9	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.36787
alpha_rarefaction_18001_0.txt	18001	0	1.84025	3.67054	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_18001_1.txt	18001	1	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_18001_2.txt	18001	2	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_18001_3.txt	18001	3	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_18001_4.txt	18001	4	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_18001_5.txt	18001	5	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_18001_6.txt	18001	6	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_18001_7.txt	18001	7	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07838
alpha_rarefaction_18001_8.txt	18001	8	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_18001_9.txt	18001	9	1.84025	3.67054	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_20000_0.txt	20000	0	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_20000_1.txt	20000	1	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_20000_2.txt	20000	2	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_20000_3.txt	20000	3	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_20000_4.txt	20000	4	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_20000_5.txt	20000	5	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.36787
alpha_rarefaction_20000_6.txt	20000	6	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_20000_7.txt	20000	7	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_20000_8.txt	20000	8	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_20000_9.txt	20000	9	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
