"","Genus","Present in Bewell?","Present in Mimic?","Present in Both?"
"560","g_unclassified_f_unclassified_Arctic97B-4_marine_group","N","Y","N"
"561","g_unclassified_f_unclassified_Ardenticatenales","N","Y","N"
"562","g_unclassified_f_unclassified_Azospirillales","N","Y","N"
"563","g_unclassified_f_unclassified_Babeliales","N","Y","N"
"564","g_unclassified_f_unclassified_Bacillales","N","Y","N"
"565","g_unclassified_f_unclassified_Bacteroidales","N","Y","N"
"566","g_unclassified_f_unclassified_Betaproteobacteriales","N","Y","N"
"567","g_unclassified_f_unclassified_Candidatus_Kaiserbacteria","N","Y","N"
"568","g_unclassified_f_unclassified_Candidatus_Roizmanbacteria","N","Y","N"
"569","g_unclassified_f_unclassified_Candidatus_Uhrbacteria","N","Y","N"
"570","g_unclassified_f_unclassified_CCD24","N","Y","N"
"571","g_unclassified_f_unclassified_Chlamydiales","N","Y","N"
"572","g_unclassified_f_unclassified_Chloroplast","N","Y","N"
"573","g_unclassified_f_unclassified_Clostridiales","N","Y","N"
"574","g_unclassified_f_unclassified_Coriobacteriales","N","Y","N"
"575","g_unclassified_f_unclassified_Corynebacteriales","N","Y","N"
"576","g_unclassified_f_unclassified_EC3","N","Y","N"
"577","g_unclassified_f_unclassified_Elsterales","N","Y","N"
"578","g_unclassified_f_unclassified_EV818SWSAP88","N","Y","N"
"579","g_unclassified_f_unclassified_F9P41300-M23","N","Y","N"
"580","g_unclassified_f_unclassified_Frankiales","N","Y","N"
"581","g_unclassified_f_unclassified_Gaiellales","N","Y","N"
"582","g_unclassified_f_unclassified_Gastranaerophilales","N","Y","N"
"583","g_unclassified_f_unclassified_HOC36","N","Y","N"
"584","g_unclassified_f_unclassified_IMCC26256","N","Y","N"
"585","g_unclassified_f_unclassified_Izimaplasmatales","N","Y","N"
"586","g_unclassified_f_unclassified_JG36-TzT-191","N","Y","N"
"587","g_unclassified_f_unclassified_KF-JG30-C25","N","Y","N"
"588","g_unclassified_f_unclassified_KI89A_clade","N","Y","N"
"589","g_unclassified_f_unclassified_Lactobacillales","N","Y","N"
"590","g_unclassified_f_unclassified_LD1-PB3","N","Y","N"
"591","g_unclassified_f_unclassified_M55-D21","N","Y","N"
"592","g_unclassified_f_unclassified_MBA03","N","Y","N"
"593","g_unclassified_f_unclassified_Micrococcales","N","Y","N"
"594","g_unclassified_f_unclassified_Microtrichales","N","Y","N"
"595","g_unclassified_f_unclassified_Milano-WF1B-44","N","Y","N"
"596","g_unclassified_f_unclassified_Mollicutes_RF39","N","Y","N"
"597","g_unclassified_f_unclassified_Myxococcales","N","Y","N"
"598","g_unclassified_f_unclassified_NB1-j","N","Y","N"
