"term","estimate","std.error","statistic","p.value","padj","APlab","RHlab"
"ASV122",-45497.9063653491,26172.2307699421,-1.7384038359314,0.08710379162181,0.625962231229046,"ASV122","s__unclassified-f__Lachnospiraceae"
"ASV281",61848.7277668566,36144.3224497053,1.71116024800074,0.0919714236520798,0.625962231229046,"ASV281","s__Lachnospiraceae_NK4A136_group bacterium"
"ASV275",106493.581294727,62754.0433373296,1.69699951797973,0.0946324763201975,0.625962231229046,"ASV275","s__unclassified-f__Lachnospiraceae"
"ASV695",1506602.65848889,893953.518639075,1.68532549744028,0.0968734540660804,0.625962231229046,"ASV695","s__unclassified-f__Lachnospiraceae"
"ASV1873",4519807.97546666,2681860.55591722,1.68532549744028,0.0968734540660806,0.625962231229046,"ASV1873","s__unclassified-f__Lachnospiraceae"
"ASV7",4519807.97546712,2701256.62927147,1.67322420479764,0.0993220126391397,0.625962231229046,"ASV7","s__unclassified-f__Lachnospiraceae"
"ASV7:treatmentPD1",-4517306.85574565,2701268.3823479,-1.67229101901355,0.0995066331486187,0.625962231229046,"ASV7","s__unclassified-f__Lachnospiraceae"
"ASV16:treatmentPD1",-6580.3005330861,3947.50959102191,-1.66694985315606,0.100568726499347,0.625962231229046,"ASV16","s__unclassified-f__Lachnospiraceae"
"ASV149",-200323.47335264,120248.29419976,-1.66591530204875,0.100775513628413,0.625962231229046,"ASV149","s__unclassified-g__Acetatifactor"
"ASV49",30368.0723605551,18730.6208374071,1.62130623561108,0.11002713001482,0.625962231229046,"ASV49","s__Anaerostipes caccae"
"ASV9",-10674.0257414195,6695.05345241554,-1.59431523844942,0.115951027755933,0.625962231229046,"ASV9","s__unclassified-g__GCA-900066575"
"ASV5:treatmentPD1",22759.9355342718,14312.148324025,1.590252910953,0.116864450918207,0.625962231229046,"ASV5","s__unclassified-g__Blautia"
"ASV26:treatmentPD1",123202.389514049,77852.6993017005,1.58250633079023,0.118622323447949,0.625962231229046,"ASV26","s__unclassified-g__Lachnospiraceae_NK4A136_group"
"ASV87:treatmentPD1",49394.5663155621,31241.1369364549,1.5810745433507,0.118949541789165,0.625962231229046,"ASV87","s__unclassified-g__Lachnospiraceae_NK4A136_group"
"ASV163",-45867.8092017581,29077.5562446935,-1.57742998812456,0.119785733178787,0.625962231229046,"ASV163","s__unclassified-g__GCA-900066575"
"ASV530",-715390.915671428,462843.741174868,-1.5456424102344,0.127199842220202,0.625962231229046,"ASV530","s__unclassified-f__Lachnospiraceae"
"ASV2022",-5007736.4097,3239906.18822407,-1.5456424102344,0.127199842220202,0.625962231229046,"ASV2022","s__unclassified-f__Lachnospiraceae"
"ASV1558",-2728771.84868333,1765461.29338513,-1.5456424102344,0.127199842220202,0.625962231229046,"ASV1558","s__unclassified-f__Lachnospiraceae"
"ASV1559",-2728771.84868333,1765461.29338513,-1.5456424102344,0.127199842220202,0.625962231229046,"ASV1559","s__unclassified-f__Lachnospiraceae"
"ASV617",-901562.559649999,583293.104330178,-1.5456424102344,0.127199842220203,0.625962231229046,"ASV617","s__unclassified-g__GCA-900066575"
"ASV1205",-2046578.8865125,1324095.97003885,-1.5456424102344,0.127199842220203,0.625962231229046,"ASV1205","s__unclassified-g__Lachnospiraceae_UCG-006"
"ASV153:treatmentPD1",194768.174510544,126239.859637559,1.54284213456616,0.127958158360973,0.625962231229046,"ASV153","s__unclassified-g__Marvinbryantia"
"ASV87",-39168.9739045453,25479.4404204931,-1.53727763475691,0.129313485992711,0.625962231229046,"ASV87","s__unclassified-g__Lachnospiraceae_NK4A136_group"
"ASV26",-118642.254290578,77239.6265197324,-1.53602832686236,0.129619340401965,0.625962231229046,"ASV26","s__unclassified-g__Lachnospiraceae_NK4A136_group"
"ASV47",-72575.8899956521,47314.2300001556,-1.53391252473967,0.13013864114428,0.625962231229046,"ASV47","s__unclassified-g__Roseburia"
"ASV128",-200309.456388,130636.281731669,-1.53333709236644,0.130280160503433,0.625962231229046,"ASV128","s__unclassified-g__Acetatifactor"
"ASV50:treatmentPD1",40370.4478052291,26661.1148873641,1.51420703806961,0.135054923808443,0.625962231229046,"ASV50","s__unclassified-f__Lachnospiraceae"
"ASV297",-114513.428455515,76411.5905243718,-1.49863950834776,0.139041844852203,0.625962231229046,"ASV297","s__unclassified-g__GCA-900066575"
"ASV104",-50323.2807000564,33696.6584609392,-1.49342050513378,0.140399046783509,0.625962231229046,"ASV104","s__unclassified-f__Lachnospiraceae"
"ASV139",-157114.748794557,105413.321994372,-1.49046387896726,0.141172536115254,0.625962231229046,"ASV139","s__unclassified-g__Acetatifactor"
"ASV13",-30910.6195566469,21273.8687815621,-1.45298534432237,0.151270615841374,0.625962231229046,"ASV13","s__unclassified-g__Lachnoclostridium"
"ASV36:treatmentPD1",54197.0109137292,37361.6367252523,1.45060590659558,0.151930288077866,0.625962231229046,"ASV36","s__unclassified-g__Acetatifactor"
"ASV113",-36455.9349801969,25296.9759134112,-1.44111830224219,0.154582947965068,0.625962231229046,"ASV113","s__unclassified-g__A2"
"ASV2060",-4455343.308375,3102800.25320323,-1.43591045017334,0.155974777282258,0.625962231229046,"ASV2060","s__unclassified-f__Lachnospiraceae"
"ASV285",-217333.819920732,151356.109912353,-1.43591045017334,0.155974777282258,0.625962231229046,"ASV285","s__unclassified-f__Lachnospiraceae"
"ASV224",180931.649134846,126169.479142386,1.43403658606421,0.156586324931972,0.625962231229046,"ASV224","s__Lachnoclostridium urinimassiliense"
"ASV18",-125502.62840493,88100.2406804515,-1.42454353626729,0.159303420242963,0.625962231229046,"ASV18","s__unclassified-g__Lachnospiraceae_NK4A136_group"
"ASV135",-95028.4106737654,67450.7371375335,-1.40885651820232,0.16387323303096,0.625962231229046,"ASV135","s__unclassified-f__Lachnospiraceae"
"ASV11:treatmentPD1",-14419.6775110982,10292.9682742684,-1.40092509049564,0.166221943554796,0.625962231229046,"ASV11","s__unclassified-f__Lachnospiraceae"
"ASV266",714460.938699718,511175.914229069,1.3976811481371,0.167190001610952,0.625962231229046,"ASV266","s__unclassified-f__Lachnospiraceae"
"ASV276:treatmentPD1",762606.848746773,551068.841864588,1.38386856743057,0.171360583653648,0.625962231229046,"ASV276","s__unclassified-g__Blautia"
"ASV149:treatmentPD1",179844.073668048,131871.959264209,1.36377797578426,0.177568549749301,0.625962231229046,"ASV149","s__unclassified-g__Acetatifactor"
"ASV25",-105036.301614847,77052.0431997201,-1.36318645493399,0.177753895535828,0.625962231229046,"ASV25","s__unclassified-f__Lachnospiraceae"
"ASV57:treatmentPD1",15043.719640589,11067.7652709194,1.35923732319445,0.178995089849772,0.625962231229046,"ASV57","s__unclassified-g__Lachnoclostridium"
"ASV829",-1041420.9947,770198.094652453,-1.35214693717197,0.181162471047067,0.625962231229046,"ASV829","s__unclassified-g__A2"
"ASV40:treatmentPD1",35714.247388186,26517.0917138581,1.34683877755423,0.182934807491713,0.625962231229046,"ASV40","s__unclassified-f__Lachnospiraceae"
"ASV39",-227810.842590624,169671.576382789,-1.3426576651629,0.184278123047627,0.625962231229046,"ASV39","s__unclassified-g__Lachnospiraceae_NK4A136_group"
"ASV19",-9706.55386101796,7241.04212352705,-1.34049128501548,0.18497707718284,0.625962231229046,"ASV19","s__unclassified-g__A2"
"ASV8",-102413.954321397,76772.0029319067,-1.33400133395287,0.18700586548447,0.625962231229046,"ASV8","s__unclassified-g__Lachnospiraceae_NK4A136_group"
"ASV28:treatmentPD1",10717.1200306413,8086.04389612314,1.32538484434639,0.189906920581766,0.625962231229046,"ASV28","s__unclassified-g__Lachnospiraceae_UCG-006"
"ASV219",-59664.0997763778,45041.0929636242,-1.32465923561321,0.190146188327802,0.625962231229046,"ASV219","s__unclassified-f__Lachnospiraceae"
"ASV55:treatmentPD1",-34753.5027503727,26359.1859856348,-1.31845887689068,0.192200024150599,0.625962231229046,"ASV55","s__unclassified-f__Lachnospiraceae"
"ASV10",-10554.6843756796,8018.37480176754,-1.31631217504985,0.192914987794106,0.625962231229046,"ASV10","s__unclassified-g__Lachnospiraceae_NK4A136_group"
"ASV134",-17584.5510804839,13407.8740626365,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV134","s__unclassified-g__Blautia"
"ASV241",-36957.3615928814,28179.2607418124,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV241","s__unclassified-g__Blautia"
"ASV284",-47401.8333473913,36142.9648644985,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV284","s__Coprococcus_3 comes"
"ASV127",-340700.677184375,259777.559963583,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV127","s__unclassified-f__Lachnospiraceae"
"ASV137",-36220.6699996678,27617.5479031051,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV137","s__unclassified-f__Lachnospiraceae"
"ASV138",-1362802.7087375,1039110.23985433,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV138","s__unclassified-g__Lachnoclostridium_5"
"ASV192",-17088.435219279,13029.5954840668,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV192","s__Anaerostipes hadrus"
"ASV222",-19399.3268147687,14791.6048377841,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV222","s__unclassified-g__Agathobacter"
"ASV223",-15686.9376545324,11960.9811781794,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV223","s__Blautia obeum"
"ASV319",-838647.820761538,639452.455294973,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV319","s__unclassified-g__Lachnoclostridium"
"ASV349",-419323.910380769,319726.227647486,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV349","s__unclassified-g__Agathobacter"
"ASV364",-132956.361828049,101376.608766276,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV364","s__unclassified-g__Fusicatenibacter"
